Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Science Manager - Ecosystem,$82K - $183K (Glassdoor est.),"People love Discord because it connects them with people they care about - friends, family, and communities with common interests. To empower people to build genuine relationships and create belonging in their lives, Discord must provide a world-class experience across the many aspects of the service, from the trust &amp; safety of our users to quality of service &amp; application performance.&nbsp; At Discord, we believe Safety enables belonging. The Safety organization at Discord serves our community, moderators, and internal Discord teams - all with a goal of making Discord a safe place where people can find belonging. Discord is looking for a highly technical, hands-on, and mission-driven manager to to join and lead our Safety Data Science team. In this role, you will leverage your experience leading a world-class team to partner directly with our Safety organization (operating cross-functionally across Product, Engineering, Operations, Policy, and Data Platform) in order to set a vision for how data science can make Discord a safer place - by improving the efficacy and usage of our anti-abuse platform, deepening our quantitative understanding of safety, and driving strategic cross-functional decisions. This role reports directly into our Head of Ecosystems &amp; Servers Data Science. You Will: Partner closely with product, engineering, and business teams to understand feature adoption, proactively identify opportunities for improvement, and build robust scalable tools to empower decision-making at all levels of the company Create novel and interpretable metrics to provide insight into the health of the Discord app and use analytics, modeling, and experimentation to understand their impact on business goals&nbsp; Transform data into information - establish hypotheses, dig deep, and seek to understand root causes - to improve the effectiveness of our marketing efforts&nbsp; Own the vision and roadmap for the Safety Data Science team, supporting a key pillar of Discord's mission&nbsp; Build and mentor a world-class analytics team, expanding the impact of data at Discord&nbsp; In partnership with our Data leaders, inform architectural decisions, establish best practices, develop lean scalable processes, and contribute to the overall direction of the Data organization at Discord! You Have (not hard qualifications - if you're not sure, please apply!): 3+ years of leadership experience as a people manager, leading a team of 3+ data scientists. Ideally, your team would have had technical expertise covering at least two of the following: BI &amp; analytics, machine learning, and A/B experimentation&nbsp; Excellent skills in communicating to both technical and non-technical audiences, with an ability to explain complex concepts in easy-to-understand ways 6+ years of industry experience in applying machine learning and/or analytics techniques to answer vague and challenging business problems&nbsp; Proficient in Python/R or SQL (any dialect) for hands-on modeling and/or analysis Familiarity with A/B testing principles&nbsp; A collaborative attitude and natural curiosity&nbsp; Bonus Points: Experience with social media and/or safety aspects within digital consumer products Proficient in modern BI tooling (Chartio, Looker, Tableau, etc.), with an eye towards clear, rich visualizations and performance Experience with very large data sets and distributed computing Familiarity with Airflow, GCP, BigQuery Experience partnering with business teams in a data-driven culture Passion for Discord or online communities&nbsp; Our Benefits: Comprehensive medical insurance including Health, Dental, and Vision (Plus up to $20,000 for gender affirmation procedures) Mental health resources and quarterly wellness stipends 19+ paid holidays, 4 weeks of PTO, use-what-you-need sick days and volunteer time off Paid parental leave (plus fertility, adoption and other family planning benefits) Generous stipends for headphones, your remote work setup, and lunch on a daily basis (while we're all remote) Flexible long-term work options (remote and hybrid) A diverse slate of Employee Resource Groups Plus commuter contributions and other perks for office-based employees&nbsp; About Us Discord is a voice, video and text app that helps friends and communities come together to hang out and explore their interests — from artists and activists, to study groups, sneakerheads, plant parents, and more. With 150 million monthly users across 19 million active communities, called servers, Discord has grown to become one of the most popular communications services in the world. Discord was built without selling ads or user data and instead, offers a premium subscription called Nitro that gives users special perks like higher quality streams and fun customizations. In a world of polarization, social curation, and loneliness, Discord is working toward an inclusive world where no one feels like an outsider. We believe in the value of genuine human connection, which can so easily be lost online. So we’re building a space where everyone can find belonging from the inside out. If this strikes a chord with you, come build belonging with us! #LI-GB1",4.6,"Discord
4.6","San Francisco, CA",51 to 200 Employees,2015,Company - Private,Internet,Information Technology,$1 to $5 million (USD)
"Data Scientist I, Product Analytics",$99K - $178K (Glassdoor est.),"The Analytics team powers data-informed decision-making at Tinder. We are looking to add a creative Data Scientist to our growing Analytics team. As a Data Scientist I on the Analytics team, you will partner with Product, Marketing, Engineering, and Finance to improve our outstanding platform.

You will use comprehensive datasets to develop experiments, understand metrics, develop automated reports, and generate exploratory insights to guide our business solutions. You will collaborate with other members of our team to surface important insights - exploratory analysis, experiment results, collaborations with other teams (consumer insights/strategy/etc) - to our partner teams and across the company. These insights influence both the performance of our business and the experience of our members.",3.8,"Tinder
3.8","San Francisco, CA",201 to 500 Employees,2012,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist - US Cards,$90K - $171K (Glassdoor est.),"The US Consumer Analytics (USCA) Decision Science Team develops statistical tools and tool-driven optimization strategies for NA Cards and Retail Bank marketing programs in order to increase Customer Centricity, aiming to increase customer satisfaction and revenue growth. Within USCA, the Acquisition (ACQ) modeling team builds and manages predictive analytics solutions for cards and retail bank account acquisition improvements.

Responsibilities:
Serve as data science expert to support US cards acquisition optimization and strategy analyses
Deliver incremental business benefits through advanced statistical and machine learning modeling for consumer behaviors
Translate data into consumer or customer behavioral insights to drive targeting and segmentation strategies, and communicate clearly and effectively to business partners and senior leaders all findings



Decision Management
Specialized Analytics (Data Science/Computational Statistics)
Full time",3.9,"Citi
3.9","New York, NY",10000+ Employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
"Data Scientist, Creator Business Analysis",$108K - $208K (Glassdoor est.),"Data, Research & Insights
Data Science
The Marketplace team builds Spotify's content platform and creator products. Our content platform ingests, understands, and safeguards the world's audio. Our creator products - Spotify for Artists, Soundtrap, and SoundBetter - enable artists and their teams to create music and connect with collaborators, in an effort to grow and monetize their audiences.
Location
New York or Remote Americas
Job type
Permanent
As one of the teams within Marketplace, Creator Business Analysis partners closely with R&D. We are responsible for ensuring our teams build the highest value products to deliver back towards the music industry. We do this by evaluating new and emerging business ideas, business models and pricing strategies. As a Data Scientist on our team, you will help analyze economic, product and business problems using analytics. You will tackle complex problems in order to develop a behavioral understanding of customer needs, as well as to forecast and predict the value that our tools deliver. In doing so, you will have a lasting impact on bringing Spotify’s marketplace vision to life.",4.1,"Spotify
4.1","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$96K - $173K (Glassdoor est.),"The Team:
Bloomberg's Management Reporting & Analysis' (MR&A) Data Science Solutions Team is entrusted to continually improve the ability to make data-driven decisions for Bloomberg's senior management, Product and Sales teams. Our team arms Sales and other client-facing teams with data to optimize their prospecting and retention efforts. We enable Product teams to build better products by providing them with deep insights into customer behavior and helping them prototype and develop ML-based products. We also build products utilizing usage data to improve our customer’s experience. And that's just a sampling of projects from a ""typical"" week!
The Role:
We are looking for an experienced data scientist to join our team. You will work alongside engineers, product managers, sales managers and data scientists from across the organization to tackle complex business problems. You will be responsible for using our extensive data sources to provide both rapid solutions to urgent business questions as well as building products that serve internal/external clients. You'll be encouraged to use the right tool for the job and connect with a variety of partners.",4.1,"Bloomberg
4.1","New York, NY",10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,$78K - $170K (Glassdoor est.),"Description - Internal
Our Story
Xandr is a technology platform powering one of the largest global Advanced TV and Video advertising marketplaces in the industry. We scale our business as WarnerMedia people who independently build the Xandr platform and brand. For more than a decade, our data insights, premium content, powerful technology, and scaled direct-to-consumer distribution have given us a competitive edge — leading us to improving advertising for all brands, publishers, and consumers.

How do we do this? With talented, passionate people like you! We bring together people from diverse backgrounds and give them an opportunity to bring their ideas to life. Join our community to Make Advertising Better!",3.7,"AT&T
3.7","New York, NY",10000+ Employees,1983,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Data Science New Graduate,$80K - $176K (Glassdoor est.),"Hewlett Packard Enterprise advances the way people live and work. We bring together the brightest minds to create breakthrough technology solutions, helping our customers make their mark on the world.
At HPE we believe in bold moves, the power of “Yes we can”, and being a force for good. Our work thrives on differences, fueling creativity to give our customers all they deserve. But our work is far from over. In fact, we continuously push for better. We empower our team members to make an impact on our business and in the world while fostering a culture that is unconditionally inclusive. Whether you’re looking for an internship or to start your professional career, at HPE you’ll be able to create and collaborate on projects that challenge and inspire you.
Sound like you? Apply today and join one of the most impactful tech companies in the world!
How you’ll make your mark
1101130",4.0,"Hewlett Packard Enterprise
4.0","Durham, NC",10000+ Employees,2015,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Geospatial Data Scientist,$79K - $147K (Glassdoor est.),"Position Overview:
We are seeking a highly motivated data scientist with applied experience with geospatial datasets and modeling to join our team within the Climate Science organization. You will have the opportunity to be on the forefront of developing novel & sophisticated integrated agronomic models for recommendations on the seeds, agronomic traits, and crop protection that farmers need today. Our team has access to rich, industry-leading data sources to inspire the creation of predictive and prescriptive models that will shape the future of the agriculture industry.
As part of our diverse, highly dynamic group, you will work side-by-side with a team of exceptional data scientists with diverse backgrounds-Mathematics, Statistics, Computer Science, Engineering, Physics, Environmental Science, Agronomy, and more-to deliver next-generation scientific breakthroughs, while fostering your career growth and development. If you are passionate about addressing the need to feed a growing planet sustainably, with a direct impact on farmers, The Climate Corporation would love to talk to you. We work on hard problems because we love the challenge!",3.5,"The Climate Corporation
3.5","San Francisco, CA",501 to 1000 Employees,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
"Data Scientist, Accounting",$71K - $135K (Glassdoor est.),"Business Support & Operations
Accounting
The Royalties Analytics & Data team at Spotify provides support to Finance & Accounting teams through data insights, automation solutions, and ad-hoc reporting. We help to communicate technical and business requirements between internal and external stakeholders and serve as subject matter experts for accounting data.
Location
New York
Job type
Permanent",4.1,"Spotify
4.1","New York, NY",5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Junior Data Scientist,$58K - $112K (Glassdoor est.),"The Automotive Analytics team at IHS Markit is looking for a Junior Data Scientist who will support our initiatives to generate actionable insights and build new products from our rich internal data sets. The ideal candidate should have critical thinking skills, a quantitative background and strong experience exploring data sets, a high competency using a variety of analytics tools to build machine learning models. They must have a proven ability to drive business results with data-driven insights and should be comfortable working with a wide range of stakeholders and functional teams.
Responsibilities:
Work with stakeholders throughout the organization to build proof of concepts for new business solutions.
Efficiently explore new data sources and assess data gathering techniques.",4.1,"IHS Markit
4.1","Southfield, MI",10000+ Employees,2016,Company - Public,Consulting,Business Services,$2 to $5 billion (USD)
Junior Data Scientist,$66K - $115K (Glassdoor est.),"We are Farmers!
Join a team of diverse professionals at Farmers to acquire skills on the job and apply your learned knowledge to future roles at Farmers. Farmers Insurance also offers extensive training opportunities through the award winning University of Farmers named by Training magazine amongst top 10 corporate training units in the world.
Job Summary
Part of a group of data scientists applying state of the art analytics and ETL to Distribution, Life and Financial Services challenges.
Leverages customer information such as macro and micro (transactional) behavioral data to influence strategic business decisions while using complex, innovative analytics, multi-variate models, machine learning and data mining technologies.",3.7,"Farmers Insurance Group
3.7","Woodland Hills, CA",10000+ Employees,1928,Subsidiary or Business Segment,Insurance Carriers,Insurance,$1 to $2 billion (USD)
Data Scientist,Employer Provided Salary:$48K - $54K,"Data Scientist Position - Maryland Food Bank; Salary: $48,000 to $54,000 Closes: Sep 20, 2021;
Please submit a cover letter and resume to resumes@mdfoodbank.org for consideration.
Maryland Food Bank seeks to hire a junior-level data scientist who will provide analytic expertise to help further our goal of ending hunger in Maryland.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Program evaluation. This role will help design, execute, analyze, and present findings from internal studies to improve services and alleviate the causes of hunger for Marylanders. Working closely with a small team this person will design data collection plans using multiple sources, clean and manage both quantitative and qualitative data, perform statistical analyses to test hypotheses and develop compelling visual presentations of findings. These programs are guided by logic models that specify necessary inputs, activities, and measurable outputs connected by theoretically sound program plans; the person in this position will analyze clients outcomes and conduct needs assessments using data dashboards, Tableau, ArcGIS, Excel, and other applications suitable to documenting impact
. This person will work on projects, both internal and externally focused, that will help build a culture of decision-making based on rigorous data collection and analysis. This will include participating in a cross-enterprise data working group, providing analytic support for internal decision-making, and preparing presentations and papers for external distribution.",-1,EvalCommunity,"Baltimore, MD",-1,-1,-1,-1,-1,-1
Data Scientist,$79K - $153K (Glassdoor est.),"Job Summary:
Supporting the Disney Advertising Sales organization within our new Disney Media & Entertainment Distribution (DMED) segment, the Audience Modeling and Data Science team are subject matter experts in each of the following areas:
Creating and optimizing audience segmentation models that enable us to target specific audiences based on brand affinities, app behavior, and video viewership among other things
Examining other ways to expand audience sizes and depth through look-alike modeling of behaviors within our own network of digital properties
Analyzing the performance of models in real-world campaigns and collaborating with the audience modeling team to optimize and refine the models
We’re looking for an intellectually curious, business-savvy, analytical powerhouse to join The Walt Disney Company’s DMED segment as a data scientist on the ad sales team. In this role, you will be responsible for driving improvements across DMED’s portfolio of offerings by using data. Working collaboratively with cross-functional teams, you will develop, drive, and oversee new strategies to ensure the growth of the business and the overall bottom line.


B.A. or B.S. (MS, MBA, or PhD a plus) in a quantitative field (Math/Statistics, CS, Engineering, Business, Economics, experimental science, or similar)
DISNEYADSALES",4.0,"Disney Media & Entertainment Distribution
4.0","New York, NY",10000+ Employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
Data Scientist,$100K - $186K (Glassdoor est.),"Bachelor's Degree
3+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)
2 years working as a Data Scientist
MSc/Ph.D. in a relevant field
3+ years of hands-on experience in modeling and analysis, and in deploying machine learning / deep learning models in production.
As a Data Scientist at Amazon, you will play an integral part in the measurement and optimization of marketing activities of the organization. You will have the opportunity to work with a rich marketing dataset together with the marketing managers, building models to drive marketing strategy and growth. You will have many of the following technical and leadership responsibilities:
Translate/Interpret
Measure/Quantify/Expand
Explore/Enlighten",3.8,"Amazon.com Services LLC
3.8","San Francisco, CA",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data Scientist,-1,"Data Scientist
Flexible UK location

As a Barclays Data Scientist, you’ll work within the Data Science and Advanced Analytics (DS&AA). Our team exists to harness the power of data, using advanced analytics to deliver assets that drive the performance of the bank, and transform the lives of our customers and the communities we live in. We do this by partnering with colleagues to build transformative assets using machine learning and novel data sources, promoting awareness of the latest analytical advances and exploring their use within the bank.

Barclays is one of the world's largest and most respected financial institutions, with 329 years of success, quality and innovation behind us. We offer careers that provide endless opportunity – helping millions of individuals and businesses thrive, and creating financial and digital solutions that the world now takes for granted.

You can apply from anywhere in the UK for this role. We will confirm your place of work at the point of offer, ensuring that this is considered in line with our future ways of working and overall location strategy. The hiring manager for the role will discuss the appropriate defined time in office for the role with you as part of the application process.


• Enriching our customer’s experience using quicker, richer insights and robust analytical pipelines


• Excellent modelling skills, as evidenced by an advanced degree, or by having broad familiarity with machine learning and a budding specialism in a particular area


• Clear passion for making financial services more customer-centric using data science ethically


We will confirm your place of work at the point of offer, ensuring that this is considered in line with our future ways of working and overall location strategy.


#LI-ST2022",4.0,"Barclays
4.0",Remote,10000+ Employees,1690,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD)
"Staff Data Scientist, Performance",Employer Provided Salary:$142K,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We are looking for an experienced data scientist to work on performance measurement initiatives. At Slack, performance is a table-stakes feature - its at the heart of the product experience. You will work primarily with the Foundations product team which builds and maintains the core product features that make Slack the place for teams to get work done. The Foundations team is responsible for the core user experiences within Slack such as writing messages, retrieving and organizing information, and bringing files into Slack.
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.",4.7,"Slack
4.7","San Francisco, CA",1001 to 5000 Employees,2014,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
"Data Scientist, Growth",$120K - $218K (Glassdoor est.),"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
As a Data Scientist within the Growth Product Analytics and Data Science team, you will leverage data and automation to help Pinterest solve impactful business, marketing, and growth problems such as SEO, email & push notifications targeting, and lifetime value forecasting, churn prediction, causal inference, and more. We're looking for a data scientist to help us connect Pinners to actionable content that improves the Pinner experience.

Not Specified
0",4.2,"Pinterest
4.2","San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
"Data Scientist, MediaGuard",$54K - $128K (Glassdoor est.),"At HUMAN, we know who’s real.
We are the global leader in bot mitigation. Founded in 2012 in a Brooklyn sci-fi bookstore we’ve grown to protect more than 200 enterprises—including the largest internet platforms—from bot attacks by verifying the humanity of over a trillion (that’s 12 zeroes!) online interactions every day. State-of-the-art bots look and act like humans when they click on ads, visit websites, fill out forms, take over accounts, and commit payment fraud. We stop them.

We hope you’ll want to join our mission to stop bots, disrupt the economics of cyber crime, and keep it human.

Detection@HUMANsec
The Detection team at HUMAN is the beating heart of our company - finding and stopping bots. We're a group of data professionals and security experts who build the algorithms that run behind the scenes analysing and decisioning on our vast number of daily events. We deploy advanced statistical and machine learning models that need to be flexible for different deployment scenarios and robust to a fraudster’s favourite tactics: evasion and deception.",2.9,"Human Security
2.9","New York, NY",51 to 200 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist University Grad,$83K - $158K (Glassdoor est.),"One team. Global challenges. Infinite opportunities. At Viasat, we’re on a mission to deliver connections with the capacity to change the world. For more than 35 years, Viasat has helped shape how consumers, businesses, governments and militaries around the globe communicate. We’re looking for people who think big, act fearlessly, and create an inclusive environment that drives positive impact to join our team.

Job Responsibilities
As a Data Scientist, you will be part of a diverse team of engineers developing next-generation, vertically integrated products and services at Viasat. You will develop new, novel algorithms and techniques for analyzing complex data sets collected during Viasat’s product and service lifecycles. You will be responsible for defining and developing models that produce new inferences and enable action by adjacent teams. You will work with software engineers to create new tools, libraries, and services that can expand Viasat’s ability to understand complex data sets. You will be part of a growing team developing cloud-based solutions for tackling problems found at the cutting edge of technological development.





Viasat is proud to be an equal opportunity employer, seeking to create a welcoming and diverse environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, ancestry, physical or mental disability, medical condition, marital status, genetics, age, or veteran status or any other applicable legally protected status or characteristic.",4.2,"ViaSat
4.2","Carlsbad, CA",5001 to 10000 Employees,1986,Company - Public,Telecommunications Services,Telecommunications,$1 to $2 billion (USD)
Data Scientist,$103K - $193K (Glassdoor est.),"Company Description TIDAL is a global music and entertainment streaming platform committed to creating a deeper connection between artists and fans through its library of more than 70 million songs, over 250,000 high quality videos, and available in over 60 countries. In addition, TIDAL offers its subscribers exclusive access to high-profile music and music videos, original content series, podcasts, documentaries, livestream concerts, tickets, merchandise and live experiences. Together, TIDAL and Square will be music-obsessed and artist-focused while we explore new artist tools, listener experiences, and access to financial systems that help artists be successful.
Job Description

We are in search of a Data Scientist who can help unlock a greater understanding of our customers and our platform. You will lead the development of various technical solutions that address the data and information needs for teams across the company, with a particular focus within the marketing organization.",4.2,"Square
4.2","New York, NY",5001 to 10000 Employees,2009,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
"Data Scientist, BotGuard",$56K - $133K (Glassdoor est.),"At HUMAN we are all about keeping it human. We are the global leader in bot mitigation. We protect more than 200 enterprises—including the largest internet platforms—from sophisticated bots by verifying the humanity of nearly one trillion online interactions every week. The most sophisticated bots look and act like humans when they click on ads, visit websites, fill out forms, take over accounts, and commit payment fraud. We stop them.
Founded in 2012 in a Brooklyn sci-fi bookstore, our Bot Mitigation Platform protects enterprises from the sophisticated bots that threaten them. It’s an ongoing war that we fight passionately every day. Join our mission to stop bots, disrupt the economics of cybercrime, and keep it human.
The Data Science team at HUMAN is building the algorithms that run behind the scenes and power our bot detection engine. We deploy state-of-the-art statistical and machine learning models at a massive scale that distinguish human activity from automated bots.
What you will do:",2.9,"Human Security
2.9","New York, NY",51 to 200 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$63K - $112K (Glassdoor est.),"Analytics & Cognitive -Data Scientist -Solution Specialist - USDC

Are you an experienced, passionate pioneer in technology - a solutions builder, a roll-up-your-sleeves technologist who wants a daily collaborative environment, think-tank feel and share new ideas with your colleagues - without the extensive demands of travel? If so, consider an opportunity with our US Delivery Center - we are breaking the mold of a typical Delivery Center.

Our US Delivery Centers have been growing since 2014 with significant, continued growth on the horizon. Interested? Read more about our opportunity below ...













Analytics & Cognitive

In this age of disruption, organizations need to navigate the future with confidence, embracing decision making with clear, data-driven choices that deliver enterprise value in a dynamic business environment.

The Analytics & Cognitive team leverages the power of data, analytics, robotics, science and cognitive technologies to uncover hidden relationships from vast troves of data, generate insights, and inform decision-making. Together with the Strategy practice, our Strategy & Analytics portfolio helps clients transform their business by architecting organizational intelligence programs and differentiated strategies to win in their chosen markets.

Analytics & Cognitive will work with our clients to:




























At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.



At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits.



Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives.",4.0,"Deloitte
4.0","Mechanicsburg, PA",10000+ Employees,1850,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD)
Associate Data Scientist,-1,"Job Title: Associate Data Scientist
Location: Atlanta / US Remote

WHY YOU'LL LOVE SALESLOFT:
Put Customers First. Team Over Self. Focus on Results. Bias Towards Action. Glass Half Full.
These are the values that define who we are, that have empowered our staggering growth, and could be instrumental to your career development
Headquartered in Atlanta, Georgia, with offices in San Francisco, New York, London, Indianapolis, and Guadalajara, Salesloft is growing rapidly and is looking for future Lofters to join our team. As a testament to our Organizational Health, Salesloft has been named by Forbes as one of America's Best Startup Employers in 2020, twice by Deloitte as a 'Fastest-Growing Technology Company in North America,' featured by The New York Times as a start-up on a path to a $1B valuation, and has been recognized as a '#1 Best Place to Work in Atlanta' three separate years. Salesloft is ranked #1 in the emerging category of Sales Engagement software and is on a mission to equip companies to maximize revenue by creating a fantastic buying experience.",4.6,"Salesloft
4.6",Georgia,201 to 500 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Data Scientist,$76K - $127K (Glassdoor est.),"Working at MIT offers opportunities, an environment, a culture – and benefits – that just aren’t found together anywhere else. If you’re curious, motivated, want to be part of a unique community, and help shape the future – then take a look at this opportunity.
Information on MIT’s COVID-19 vaccination requirement can be found at the bottom of this posting.

DATA SCIENTIST, Center for Biomedical Innovation (CBI), to support project work, including funded research and activities within the Biomanufacturing@MIT-CBI program and its two biopharmaceutical industry consortia, BioMAN (BiomanufacturingConsortium), CAACB (Consortium on Adventitious Agent Contamination in Biomanufacturing), and the BioACCESS program. Projects may include the BioMAN’s aim to understand and manage the risk associated with the variation of raw materials in biomanufacturing, CAACB’s pandemic preparedness initiative, and risk assessment and standardization of database management policies to ensure accuracy and security. CBI has several projects ongoing that aim to develop tools to compile literature, mine confidential internal reports, and support database creation and curation. Projects involve identifying and vetting data sources; developing pipelines to extract, process, load, and validate data; developing data products like literature relevancy scores; reverse engineering algorithms; and performing and writing up research on these data products. Data sources are both structured and unstructured. Responsibilities include developing and deploying data products, e.g., models, pipelines; helping to stand up a robust data pipeline; conducting quality control checks; maintaining data lake to support research and data products; conducting and writing up research; and other duties as needed.",4.4,"MIT
4.4","Cambridge, MA",10000+ Employees,1861,College / University,Colleges & Universities,Education,$2 to $5 billion (USD)
"Data Scientist , Modeling & Optimization",$91K - $186K (Glassdoor est.),"Master’s degree (or Bachelors degree or 5+ years of experience) in a quantitative discipline such as Statistics, Mathematics, Data Science, Business Analytics, Economics, Finance, Engineering, or Computer Science
2+ years of experience working as a data scientist or a similar role involving data extraction, analysis, statistical modeling, and communication
2+ years of experience using data querying languages (e.g. SQL, Hadoop/Hive)
Masters in Operations Research, Industrial Engineering, Applied Mathematics, or related quantitative discipline.
Deep understanding of optimization, simulation, and general data science techniques.
Experience in developing machine-learning algorithms, statistical and mathematical optimization models, and simulation and visualization tools.
Familiarity with managing disparate data sets; including, building and maintaining data flows and pipelines.
Job summary
Does the thought of improving one of the world’s most complex logistic systems inspire you? Is your passion to sift through hundreds of systems, processes, and data sources to solve the puzzle and identify the next big opportunity? Are you a creative big thinker who is passionate about using data and optimization tools to direct decision making and solve complex and large-scale challenges? Are you fascinated by the interactions between operations and strategy? Do you feel like your skills uniquely qualify you to bridge communication between teams with competing priorities? If so, then this position is for you! Amazon's Modeling and Optimization team (MOP) is looking for a motivated individual with strong analytic and communication skills to join the effort in evolving the network we have today into the network we need tomorrow.

Amazon’s extensive logistics system is comprised of thousands of fixed infrastructure nodes, with millions of possible connections between them. Billions of packages flow through this network on a yearly basis, making the impact of optimal improvements unparalleled. This magnificent challenge is a terrific opportunity to analyze Amazon’s data and generate actionable recommendations using optimization and simulation. Come build with us!

In this role, your main focus will be to perform analysis, synthesize information, identify business opportunities, provide project direction, and communicate business and technical requirements within the team and across stakeholder groups. You consider the needs of day-to-day operations and insist on the standards required to build the network of tomorrow. Your job will straddle day-to-day decisions and strategic vision, you will assist in defining trade-offs and quantifying opportunities for a variety of projects. You will learn current processes, build metrics, educate diverse stakeholder groups, assist science groups in initial solution design, and audit all model implementation. A successful candidate in this position will have a background in communicating across significant differences, prioritizing competing requests, and quantifying decisions made.

The ideal candidate will demonstrate a deep understanding of identifying meaningful key performance indicators and building actionable metrics. This candidate is passionate about providing insights that drive larger initiatives and sees the undeniable value of a good metric. They are excited to be part of, and learn from, a large science community and are ready to dig into the details to find insights that direct decisions. The successful candidate will have good communication skills and an ability to speak at a level appropriate for the audience, will collaborate effectively with scientists, software development engineers, product managers, and hands on operators and will deliver business value in close partnership with many stakeholders from operations, finance, IT, research, and business leadership.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.8,"Amazon.com Services LLC
3.8","Bellevue, WA",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Data & Applied Scientist,$94K - $182K (Glassdoor est.),"Join us as we work towards Microsoft’s mission of empowering every person and every organization on the planet to achieve more. The Modern Life Experiences (MLX) team is expanding its global footprint and we need your help in bringing consumer products directly to the people who need them. We are agile team at Microsoft with the goal of developing consumer features for the modern workforce across surfaces and platforms. We work collaboratively and iterate quickly. We keep alive an inherently startup-like, risk-taking culture but we also take the responsibility seriously to carry one of the world's most recognizable software brand names - Microsoft. Our mission is to build customer-driven experiences that transform personal data into personal value and empower modern achievers and families to accomplish what matters most. By creating easy-to-use mobile and web experiences, we are helping individuals and families gain peace of mind, to ultimately allow them to focus on what’s most important: each other.

We are looking for a Data and Applied Scientist who is just as passionate about applying statistics and machine learning to understanding our customers behavior to shape product roadmaps as you are using statistical and machine learning techniques to create user facing AI features. You’ll sit right at the junction of product, marketing, and engineering to help us understand our users and create intelligent features. You need to be ok working across the whole ML life cycle. This is a great opportunity to apply statistical, more advanced data science techniques and engineering to contribute to our product growth and visible impact on our business and users",4.4,"Microsoft
4.4","San Francisco, CA",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
